# Operators
=			ASSIGN_TK
==			EQ_TK
++			INCR_TK
--			DECR_TK
&&			BOOL_AND_TK
||			BOOL_OR_TK
?			REL_QM_TK
:			REL_CL_TK
~			NOT_TK
!			NEG_TK
>			GT_TK
>=			GTE_TK
<			LT_TK
<=			LTE_TK
>>			RS_TK
>>=			RS_ASSIGN_TK
>>>			ZRS_TK
>>>=		ZRS_ASSIGN_TK
<<			LS_TK
<<=			LS_ASSIGN_TK
+			PLUS_TK
+=			PLUS_ASSIGN_TK
-			MINUS_TK
-=			MINUS_ASSIGN_TK
*			MULT_TK
*=			MULT_ASSIGN_TK
/			DIV_TK
/=			DIV_ASSIGN_TK
&			AND_TK
&=			AND_ASSIGN_TK
|			OR_TK
|=			OR_ASSIGN_TK
^			XOR_TK
^=			XOR_ASSIGN_TK
%			REM_TK
%=			REM_ASSIGN_TK

# Separators
.			DOT_TK
,			COMMA_TK
;			SC_TK
(			OP_TK
)			CP_TK
{			OCB_TK
}			CCB_TK
[			OSB_TK
]			CSB_TK

# Keywords
abstract		MODIFIER_TK
assert			ASSERT_TK
boolean			BOOLEAN_TK
break			BREAK_TK
byte			BYTE_TK
case			CASE_TK
catch			CATCH_TK
char			CHAR_TK
class			CLASS_TK
const			MODIFIER_TK
continue		CONTINUE_TK
default			DEFAULT_TK
do				DO_TK
double			DOUBLE_TK
else			ELSE_TK
enum			ENUM_TK
extends			EXTENDS_TK
final			MODIFIER_TK
finally			FINALLY_TK
float			FLOAT_TK
for				FOR_TK
goto			GOTO_TK
if				IF_TK
implements		IMPLEMENTS_TK
import			IMPORT_TK
instanceof		INSTANCEOF_TK
int				INT_TK
interface		INTERFACE_TK
long			LONG_TK
native			MODIFIER_TK
new				NEW_TK
package			PACKAGE_TK
private			MODIFIER_TK
protected		MODIFIER_TK
public			MODIFIER_TK
return			RETURN_TK
short			SHORT_TK
static			MODIFIER_TK
strictfp		MODIFIER_TK
super			SUPER_TK
switch			SWITCH_TK
synchronized	MODIFIER_TK
this			THIS_TK
throw			THROW_TK
throws			THROWS_TK
transient		MODIFIER_TK
try				TRY_TK
void			VOID_TK
volatile		MODIFIER_TK
while			WHILE_TK

# Literals (actually also reserved words)
# Notice there are no negative literals since that's an unary operaton
# that can be optimized away later
null			NULL_TK
true			BOOL_TK
false			BOOL_TK

1e1f			FP_TK
2.f				FP_TK
.3f				FP_TK
0f				FP_TK
3.14f			FP_TK
6.022137e+23f	FP_TK
1e1     		FP_TK
2.      		FP_TK
.3      		FP_TK
0.0     		FP_TK
3.14    		FP_TK
1e-9d   		FP_TK
1e137			FP_TK
0XaP0			FP_TK
0XfP2D			FP_TK
0Xf.aP1F		FP_TK
0xf4p4			FP_TK

0       		INTEGRAL_TK
2       		INTEGRAL_TK
0372    		INTEGRAL_TK
0xDadaCafe      INTEGRAL_TK
1996     		INTEGRAL_TK
0x00FF00FF		INTEGRAL_TK
0l      		INTEGRAL_TK
0777L   		INTEGRAL_TK
0x100000000L    INTEGRAL_TK
2147483648L     INTEGRAL_TK
0xC0B0L			INTEGRAL_TK

'A'				CHAR_TK
'0'				CHAR_TK
'"'				CHAR_TK
'\b'			CHAR_TK
'\t'			CHAR_TK
'\n'			CHAR_TK
'\r'			CHAR_TK
'\"'			CHAR_TK
'\''			CHAR_TK
'\\'			CHAR_TK
'\5'			CHAR_TK
'\35'			CHAR_TK
'\255'			CHAR_TK

""				STRING_TK
"foo"			STRING_TK
"foo\"bar"		STRING_TK

identifier		IDENTIFIER_TK
$identifier		IDENTIFIER_TK
_identifier		IDENTIFIER_TK
$_x				IDENTIFIER_TK
_foo_bar		IDENTIFIER_TK
this_1			IDENTIFIER_TK
αρετη			IDENTIFIER_TK
